"timestamp","init.scope::memory.current","system.slice::memory.current","user.slice::memory.current"
"2023-02-09T13:06:21+01:00",64.1,2778.1,13193.4
"2023-02-09T13:07:32+01:00",64.1,2804.2,13236.3
"2023-02-09T13:08:29+01:00",64.1,2783.3,13274.2
"2023-02-09T13:09:19+01:00",64.1,2782.3,13273.5
"2023-02-09T13:10:29+01:00",64.1,2783.1,13215.5
"2023-02-09T13:11:16+01:00",64.1,2781.4,13220.2
"2023-02-09T13:12:21+01:00",64.1,2796.3,13284.4
"2023-02-09T13:13:50+01:00",64.1,2780.6,13189.2
"2023-02-09T13:14:29+01:00",64.1,2779.3,13293.5
"2023-02-09T13:15:21+01:00",64.1,2780.8,13262.7
"2023-02-09T13:16:08+01:00",64.2,2792.2,13268.5
"2023-02-09T13:17:29+01:00",64.1,2792.9,13251.5
"2023-02-09T13:18:21+01:00",64.1,2786.1,13260.9
"2023-02-09T13:19:32+01:00",64.1,2781.9,13254.7
"2023-02-09T13:20:29+01:00",64.1,2798.5,13258.2
"2023-02-09T13:21:21+01:00",64.1,2828.0,13261.0
"2023-02-09T13:22:29+01:00",64.1,2822.5,13272.5
"2023-02-09T13:23:29+01:00",64.1,2826.5,13302.7
"2023-02-09T13:24:21+01:00",64.2,2781.0,13310.8
"2023-02-09T13:25:50+01:00",64.1,2780.6,13347.8
"2023-02-09T13:26:21+01:00",64.1,2781.2,13203.2
"2023-02-09T13:27:21+01:00",64.1,2781.0,13278.2
"2023-02-09T13:28:29+01:00",64.1,2792.2,13338.9
"2023-02-09T13:29:29+01:00",64.1,2781.2,13412.2
"2023-02-09T13:30:21+01:00",64.1,2775.9,13398.5
"2023-02-09T13:31:21+01:00",64.1,2780.7,13380.4
"2023-02-09T13:32:29+01:00",64.1,2782.2,13438.6
"2023-02-09T13:33:21+01:00",64.2,2784.3,13279.9
"2023-02-09T13:34:29+01:00",64.1,2783.6,13273.5
"2023-02-09T13:35:29+01:00",64.1,2784.6,13290.5
"2023-02-09T13:36:19+01:00",64.1,2779.0,13295.5
"2023-02-09T13:37:50+01:00",64.1,2783.6,13334.9
"2023-02-09T13:38:29+01:00",64.1,2791.7,13322.5
"2023-02-09T13:39:21+01:00",64.1,2782.3,13345.8
"2023-02-09T13:40:29+01:00",64.1,2783.9,13284.9
