"timestamp","system.slice/cron.service::memory.current","system.slice/cups.service::memory.current","system.slice/postfix.service::memory.current"
"2023-02-06T13:21:25+01:00",208351232,8515584,13357056
"2023-02-06T13:22:39+01:00",208351232,8515584,13361152
"2023-02-06T13:23:22+01:00",208351232,8515584,13361152
"2023-02-06T13:24:24+01:00",208351232,8515584,13361152
"2023-02-06T13:25:25+01:00",208351232,8515584,13361152
"2023-02-06T13:26:32+01:00",208351232,8515584,13361152
"2023-02-06T13:27:25+01:00",208351232,8515584,13361152
"2023-02-06T13:28:39+01:00",208351232,8515584,13361152
"2023-02-06T13:29:22+01:00",208351232,8515584,13361152
"2023-02-06T13:30:24+01:00",208429056,8515584,13357056
"2023-02-06T13:31:39+01:00",208429056,8515584,13361152
"2023-02-06T13:32:32+01:00",208429056,8515584,13361152
"2023-02-06T13:33:25+01:00",208429056,8515584,13361152
"2023-02-06T13:34:39+01:00",208429056,8515584,13361152
"2023-02-06T13:35:22+01:00",208429056,8515584,13361152
"2023-02-06T13:36:25+01:00",208429056,8515584,13357056
"2023-02-06T13:37:39+01:00",208429056,8515584,13361152
"2023-02-06T13:38:32+01:00",208429056,8515584,13361152
"2023-02-06T13:39:05+01:00",208429056,8515584,13361152
"2023-02-06T13:40:25+01:00",208429056,8515584,13357056
"2023-02-06T13:41:22+01:00",208429056,8515584,13357056
"2023-02-06T13:42:24+01:00",208429056,8515584,13357056
"2023-02-06T13:43:39+01:00",208429056,8515584,13361152
"2023-02-06T13:44:14+01:00",208429056,8515584,13361152
"2023-02-06T13:45:25+01:00",208424960,8515584,13357056
"2023-02-06T13:46:39+01:00",208424960,8515584,13357056
"2023-02-06T13:47:39+01:00",208424960,8515584,13357056
"2023-02-06T13:48:24+01:00",208424960,8515584,13357056
"2023-02-06T13:49:39+01:00",208424960,8515584,13361152
"2023-02-06T13:50:25+01:00",208424960,8515584,13361152
"2023-02-06T13:51:25+01:00",208424960,8515584,13361152
"2023-02-06T13:52:39+01:00",208424960,8515584,13357056
"2023-02-06T13:53:32+01:00",208424960,8515584,13357056
"2023-02-06T13:54:25+01:00",208424960,8515584,13361152
"2023-02-06T13:55:25+01:00",208424960,8515584,13361152
"2023-02-06T13:56:32+01:00",208424960,8515584,13357056
"2023-02-06T13:57:25+01:00",208424960,8515584,13361152
"2023-02-06T13:58:39+01:00",208424960,8515584,13361152
"2023-02-06T13:59:32+01:00",208424960,8515584,12120064
"2023-02-06T14:00:24+01:00",208449536,8515584,13348864
"2023-02-06T14:01:24+01:00",208449536,8515584,13348864
"2023-02-06T14:02:32+01:00",208449536,8515584,13348864
"2023-02-06T14:03:25+01:00",208449536,8515584,13352960
"2023-02-06T14:04:39+01:00",208449536,8519680,13348864
"2023-02-06T14:05:25+01:00",208449536,8519680,13348864
"2023-02-06T14:06:25+01:00",208449536,8519680,13352960
"2023-02-06T14:07:39+01:00",208449536,8519680,13352960
"2023-02-06T14:08:32+01:00",208449536,8515584,13348864
"2023-02-06T14:09:25+01:00",208449536,8515584,13348864
"2023-02-06T14:10:25+01:00",208449536,8515584,13352960
"2023-02-06T14:11:32+01:00",208449536,8515584,13352960
"2023-02-06T14:12:25+01:00",208449536,8515584,13352960
"2023-02-06T14:13:39+01:00",208449536,8515584,13352960
"2023-02-06T14:14:32+01:00",208449536,8515584,13348864
"2023-02-06T14:15:24+01:00",208449536,8515584,13352960
"2023-02-06T14:16:39+01:00",208449536,8515584,13348864
"2023-02-06T14:17:10+01:00",208449536,8515584,13352960
"2023-02-06T14:18:25+01:00",208449536,8515584,13352960
"2023-02-06T14:19:39+01:00",208449536,8515584,13352960
"2023-02-06T14:20:25+01:00",208449536,8515584,13348864
"2023-02-06T14:21:25+01:00",208449536,8515584,13348864
"2023-02-06T14:22:39+01:00",208449536,8515584,13348864
"2023-02-06T14:23:32+01:00",208449536,8515584,13348864
"2023-02-06T14:24:25+01:00",208449536,8515584,13352960
"2023-02-06T14:25:25+01:00",208449536,8515584,13352960
"2023-02-06T14:26:32+01:00",208449536,8515584,13348864
"2023-02-06T14:27:25+01:00",208449536,8515584,13348864
"2023-02-06T14:28:39+01:00",208449536,8515584,13348864
"2023-02-06T14:29:32+01:00",208449536,8515584,13348864
"2023-02-06T14:30:01+01:00",208441344,8515584,13348864
"2023-02-06T14:31:10+01:00",208441344,8515584,13348864
"2023-02-06T14:32:32+01:00",208441344,8515584,13352960
"2023-02-06T14:33:25+01:00",208441344,8515584,13348864
"2023-02-06T14:34:29+01:00",208441344,8515584,13348864
"2023-02-06T14:35:17+01:00",208441344,8515584,13352960
"2023-02-06T14:36:08+01:00",208441344,8515584,13352960
"2023-02-06T14:37:39+01:00",208441344,8515584,13348864
"2023-02-06T14:38:32+01:00",208441344,8515584,13348864
"2023-02-06T14:39:25+01:00",208441344,8515584,13352960
"2023-02-06T14:40:11+01:00",208441344,8515584,13348864
"2023-02-06T14:41:29+01:00",208441344,8515584,13348864
